03_04_23_152953
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
10,0,17,17.8,4.29146,-2.14573,0.723339
11,0,7,19.2,4.62899,-2.31449,0.780231
12,0,19,20.4,4.9183,-2.45915,0.828995
13,0,11,21.8,5.25583,-2.62792,0.885887
14,0,16,23,5.54514,-2.77257,0.934651
15,0,7,24.4,5.88267,-2.94134,0.991543
16,0,-5,25.8,6.2202,-3.1101,1.04843
17,0,17,27,6.50952,-3.25476,1.0972
18,0,16,28.2,6.79883,-3.39941,1.14596
19,0,14,29.6,7.13636,-3.56818,1.20286
20,0,10,29.6,17.1273,-8.56363,2.88685
20,0,5,29.6,17.1273,-8.56363,2.88685
08_06_23_110138
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.20547,0,0.203185
1,0,-485,6,1.44656,-0.72328,0.243822
2,0,21,7.2,1.73587,-0.867936,0.292587
3,0,12,8.6,2.0734,-1.0367,0.349478
08_06_23_111317
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.83616,0,0.906172
1,0,303,6,2.2034,-1.1017,1.08741
2,0,86,7,2.57063,-1.28532,1.26864
3,0,26,8.2,3.01131,-1.50565,1.48612
4,0,26,9.4,3.45199,-1.72599,1.7036
5,0,23,10.6,3.89267,-1.94633,1.92108
6,0,32,11.8,4.33335,-2.16667,2.13857
7,0,25,13,4.77402,-2.38701,2.35605
08_06_23_111524
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,2.22296,0,0.830201
1,0,454,6,-2.66755,-1.33377,-0.996242
2,0,-87,7,-3.11214,-1.55607,-1.16228
3,0,-23,8.2,-3.64564,-1.82282,-1.36153
4,0,-15,9.6,-4.26808,-2.13404,-1.59399
5,0,-22,10.8,-4.80159,-2.40079,-1.79323
6,0,-23,12,-5.33509,-2.66755,-1.99248
7,0,-15,13.4,-5.95752,-2.97876,-2.22494
8,0,-6,14.8,-6.57995,-3.28998,-2.4574
9,0,-10,14.8,-15.7919,-7.89594,-5.89775
9,0,31,14.8,-15.7919,-7.89594,-5.89775
